1x10^5,1x10^6,2x10^5,3x10^5,4x10^5,5x10^5,6x10^5,7x10^5,8x10^5,9x10^5
0.016103,0.165621,0.033680,0.051223,0.072815,0.091633,0.110746,0.126209,0.140987,0.154842
0.015845,0.163436,0.033640,0.050713,0.072686,0.091077,0.110760,0.127626,0.144752,0.152273
0.015981,0.164577,0.033407,0.051272,0.072604,0.091169,0.110450,0.127084,0.143627,0.148731
0.015600,0.163735,0.034330,0.050735,0.072753,0.091430,0.109333,0.128037,0.142368,0.147667
0.015710,0.162759,0.033065,0.053188,0.073169,0.091853,0.111480,0.127205,0.143350,0.148195
0.015810,0.164291,0.033142,0.050521,0.072774,0.090852,0.110701,0.127669,0.145366,0.153624
0.015894,0.165829,0.034563,0.050759,0.073041,0.091036,0.109220,0.127927,0.144217,0.150179
0.015673,0.163183,0.033107,0.050743,0.070552,0.090782,0.110375,0.126190,0.143766,0.150923
0.015643,0.164226,0.033106,0.050688,0.074246,0.091477,0.110179,0.128307,0.144171,0.148739
0.015639,0.164200,0.033294,0.050843,0.073225,0.091251,0.107537,0.135582,0.142313,0.147458
0.015719,0.163452,0.033790,0.053385,0.073773,0.091339,0.108869,0.125335,0.142800,0.149732
0.015690,0.163978,0.033207,0.051326,0.073615,0.090938,0.107838,0.126457,0.144227,0.150273
0.015700,0.164200,0.033421,0.051351,0.072814,0.091548,0.110771,0.124915,0.144184,0.151596
0.015688,0.163591,0.033595,0.051001,0.072342,0.092170,0.105568,0.124401,0.144320,0.152394
0.015797,0.164236,0.033443,0.051176,0.072340,0.092598,0.108164,0.124966,0.143153,0.151857
0.015714,0.163652,0.033132,0.050722,0.072331,0.091511,0.105770,0.124847,0.143513,0.147937
0.015743,0.162944,0.033182,0.050976,0.071054,0.092000,0.105696,0.124788,0.143722,0.152468
0.015574,0.162932,0.033433,0.051075,0.071884,0.092608,0.106755,0.126067,0.141978,0.155425
0.015825,0.163997,0.033135,0.050685,0.072670,0.091236,0.109012,0.128185,0.141917,0.155146
0.015576,0.163443,0.033077,0.050725,0.072736,0.090626,0.105028,0.127315,0.145809,0.148582
0.015561,0.163085,0.033198,0.050728,0.071851,0.090914,0.106596,0.124532,0.140659,0.150210
0.015823,0.163194,0.033092,0.051046,0.070533,0.091204,0.104358,0.125609,0.133759,0.146805
0.016051,0.163368,0.033074,0.050443,0.072295,0.090689,0.107842,0.130713,0.133690,0.147531
0.015512,0.163591,0.033113,0.050555,0.072597,0.091756,0.107938,0.125953,0.135192,0.146843
0.015574,0.164780,0.033096,0.050860,0.073264,0.090484,0.105907,0.124940,0.131702,0.147123
0.015412,0.169732,0.033095,0.050417,0.071762,0.092246,0.105780,0.125079,0.130890,0.147971
0.015476,0.164172,0.033183,0.050433,0.073602,0.091590,0.106404,0.124417,0.132235,0.147634
0.015818,0.165626,0.034411,0.050626,0.073134,0.090567,0.104920,0.126035,0.136310,0.147425
0.015597,0.166300,0.033078,0.054137,0.072524,0.091579,0.106751,0.126763,0.137024,0.147738
0.015685,0.170468,0.033111,0.053061,0.071332,0.090656,0.103984,0.125787,0.135430,0.151227

