1x10^5,1x10^6,2x10^5,3x10^5,4x10^5,5x10^5,6x10^5,7x10^5,8x10^5,9x10^5
0.015075,0.138393,0.027504,0.041450,0.055094,0.071202,0.085717,0.100535,0.114201,0.124330
0.014797,0.144191,0.028526,0.043198,0.054182,0.071549,0.085256,0.099997,0.114373,0.125612
0.014066,0.139565,0.027986,0.041896,0.055436,0.070545,0.086490,0.099817,0.113923,0.124310
0.013768,0.138924,0.028959,0.041072,0.054407,0.070904,0.083437,0.100497,0.113917,0.125751
0.013853,0.139183,0.027799,0.041550,0.054414,0.070773,0.085988,0.100701,0.112061,0.127003
0.013799,0.138774,0.027756,0.041847,0.054072,0.071036,0.085828,0.100727,0.114039,0.126364
0.014125,0.139660,0.027429,0.041688,0.054586,0.070079,0.084691,0.099369,0.114382,0.123029
0.014020,0.139496,0.027968,0.041143,0.057327,0.070386,0.084383,0.100586,0.114086,0.125994
0.013675,0.137855,0.028100,0.041125,0.057000,0.069427,0.086580,0.101252,0.114264,0.127408
0.013742,0.138783,0.028588,0.041074,0.057017,0.070922,0.085462,0.100676,0.113240,0.125978
0.013803,0.140335,0.028729,0.041900,0.057309,0.070043,0.085449,0.098371,0.113987,0.124420
0.014413,0.139770,0.027310,0.042072,0.056620,0.071333,0.085881,0.100360,0.114807,0.124001
0.014435,0.137613,0.027841,0.041437,0.056620,0.071518,0.085403,0.098315,0.114589,0.127592
0.013755,0.139039,0.027363,0.041062,0.057428,0.071632,0.086332,0.098787,0.114193,0.127263
0.013848,0.139464,0.027567,0.040974,0.057391,0.071477,0.086113,0.099403,0.114744,0.127862
0.014633,0.138333,0.028211,0.041001,0.057589,0.070317,0.086080,0.099431,0.113525,0.127085
0.014419,0.138547,0.027851,0.042598,0.057334,0.071821,0.084306,0.098816,0.114867,0.126319
0.014419,0.139523,0.027179,0.040775,0.056904,0.071995,0.084751,0.100052,0.115313,0.125827
0.013765,0.137757,0.027348,0.040867,0.056453,0.072010,0.084205,0.099995,0.113392,0.135173
0.013813,0.137870,0.027137,0.041489,0.056481,0.072064,0.085894,0.100317,0.113118,0.125023
0.013738,0.139195,0.027260,0.040991,0.057134,0.071405,0.086273,0.100260,0.113578,0.125685
0.013729,0.139813,0.027204,0.041006,0.055869,0.071794,0.085790,0.098854,0.112352,0.124538
0.014275,0.138456,0.027277,0.041090,0.055804,0.071900,0.085371,0.099520,0.112519,0.125168
0.013751,0.139057,0.027880,0.042506,0.056894,0.072540,0.084958,0.100107,0.111159,0.123700
0.014116,0.139076,0.027115,0.041948,0.056130,0.068236,0.086998,0.100002,0.110969,0.125618
0.014379,0.140023,0.027997,0.041806,0.057232,0.071415,0.086520,0.100003,0.110602,0.124790
0.014547,0.138744,0.027335,0.041083,0.056884,0.072730,0.085912,0.098763,0.111347,0.124353
0.014712,0.138499,0.027295,0.041657,0.056395,0.071729,0.086179,0.099910,0.112292,0.125594
0.013770,0.138718,0.028297,0.041131,0.056308,0.072632,0.084314,0.098975,0.112073,0.128413
0.013738,0.139592,0.027887,0.042602,0.056891,0.072116,0.085602,0.099382,0.110645,0.124982

