1x10^5,1x10^6,2x10^5,3x10^5,4x10^5,5x10^5,6x10^5,7x10^5,8x10^5,9x10^5
0.008639,0.112488,0.019515,0.030225,0.041475,0.056123,0.066740,0.078744,0.089413,0.101667
0.008825,0.112296,0.019250,0.029902,0.041287,0.055739,0.066496,0.078590,0.086474,0.096501
0.008780,0.111562,0.019281,0.029911,0.040803,0.054972,0.066578,0.079379,0.089935,0.095843
0.008589,0.112899,0.019270,0.031231,0.040846,0.053990,0.067630,0.079182,0.090190,0.097320
0.008603,0.110129,0.019292,0.029910,0.040760,0.055234,0.065612,0.077370,0.090095,0.100377
0.008570,0.111944,0.019722,0.029938,0.040849,0.054537,0.066818,0.078735,0.090029,0.099715
0.008563,0.113142,0.019325,0.030262,0.040879,0.055373,0.065702,0.078696,0.090692,0.103710
0.008568,0.113470,0.019349,0.030102,0.041672,0.055398,0.065160,0.078031,0.090035,0.101162
0.008554,0.115253,0.019352,0.030027,0.041790,0.055935,0.064230,0.077869,0.088083,0.101641
0.008570,0.112948,0.019327,0.029913,0.041563,0.055748,0.068170,0.077100,0.090109,0.099023
0.008560,0.111574,0.019278,0.030080,0.040714,0.053503,0.068599,0.077190,0.089502,0.101379
0.008830,0.113891,0.019249,0.030088,0.040721,0.052520,0.067144,0.077159,0.089507,0.103819
0.008674,0.112641,0.019277,0.029965,0.040781,0.051989,0.066858,0.077795,0.088585,0.100832
0.008693,0.112984,0.019445,0.030226,0.040702,0.053354,0.068329,0.078195,0.092771,0.100673
0.008788,0.113417,0.020164,0.029853,0.040734,0.056589,0.066436,0.076699,0.089899,0.100992
0.009595,0.113218,0.019623,0.029861,0.041203,0.054705,0.067950,0.078744,0.087393,0.101432
0.008814,0.114124,0.019394,0.029934,0.041200,0.054191,0.067615,0.076922,0.090997,0.101124
0.008998,0.112329,0.019561,0.029932,0.041277,0.055673,0.067757,0.077520,0.090096,0.099561
0.008608,0.112370,0.019268,0.029968,0.041661,0.056946,0.066821,0.078192,0.090683,0.100912
0.008797,0.112682,0.019208,0.029933,0.041141,0.057235,0.066938,0.077872,0.089965,0.103021
0.008579,0.114349,0.019426,0.030925,0.040679,0.057137,0.066004,0.077516,0.091848,0.100112
0.008580,0.115413,0.019382,0.030736,0.041526,0.053792,0.067930,0.077202,0.091770,0.099637
0.008587,0.114430,0.019227,0.030335,0.042427,0.054791,0.068330,0.078736,0.090131,0.102333
0.008582,0.113396,0.019416,0.030495,0.041116,0.054599,0.067727,0.076465,0.089622,0.101492
0.008584,0.113835,0.019202,0.030116,0.040791,0.054258,0.066486,0.077692,0.085361,0.100167
0.009292,0.114888,0.019584,0.030084,0.041383,0.055248,0.067678,0.076356,0.089000,0.100669
0.008574,0.115981,0.019269,0.030058,0.041249,0.055728,0.066018,0.078284,0.089818,0.101420
0.008936,0.114733,0.019200,0.030437,0.043072,0.055551,0.065760,0.077339,0.088316,0.100942
0.008676,0.112255,0.019222,0.030253,0.043124,0.054548,0.066275,0.078114,0.086323,0.101610
0.008798,0.115220,0.019486,0.030305,0.042746,0.055169,0.066757,0.077988,0.088359,0.098880

