1x10^5,1x10^6,2x10^5,3x10^5,4x10^5,5x10^5,6x10^5,7x10^5,8x10^5,9x10^5
0.005612,0.055856,0.008988,0.016807,0.018488,0.022443,0.026118,0.043292,0.047997,0.048991
0.005518,0.061483,0.008844,0.014145,0.017678,0.022184,0.026571,0.042769,0.050005,0.042744
0.004581,0.061379,0.009008,0.014525,0.017731,0.029029,0.026377,0.036533,0.043635,0.045076
0.004384,0.048743,0.009140,0.013369,0.017557,0.022497,0.030606,0.042828,0.050114,0.051435
0.004424,0.055239,0.008743,0.013360,0.017800,0.024233,0.030179,0.043177,0.046215,0.056035
0.004351,0.050064,0.008760,0.014116,0.018152,0.022242,0.026371,0.043560,0.048423,0.049186
0.004501,0.052588,0.008706,0.012968,0.017852,0.027549,0.027270,0.041742,0.043029,0.051006
0.004356,0.057473,0.009518,0.013135,0.017452,0.021673,0.026931,0.041376,0.043062,0.053324
0.004364,0.048961,0.009127,0.013380,0.017896,0.022093,0.026649,0.040745,0.046105,0.053451
0.004371,0.060923,0.009073,0.013279,0.017629,0.022160,0.026444,0.041317,0.049809,0.050023
0.004355,0.059069,0.008721,0.013417,0.018237,0.025898,0.026353,0.041184,0.049729,0.054147
0.004369,0.057177,0.008710,0.013433,0.017678,0.022532,0.026698,0.041067,0.043978,0.055237
0.004370,0.061918,0.008907,0.013396,0.017772,0.021666,0.026663,0.041089,0.042609,0.055808
0.004390,0.061668,0.008729,0.013391,0.017780,0.022110,0.033684,0.038199,0.049421,0.055342
0.004381,0.060614,0.008840,0.013404,0.022449,0.022160,0.026932,0.042006,0.049568,0.054527
0.004370,0.058930,0.008890,0.017165,0.019096,0.022071,0.026362,0.042886,0.049934,0.044718
0.004668,0.049858,0.009105,0.013118,0.017455,0.021815,0.026795,0.041998,0.049537,0.055438
0.004379,0.062231,0.008935,0.013054,0.018469,0.022076,0.026256,0.041470,0.043235,0.055146
0.004390,0.056178,0.009067,0.013128,0.017739,0.022058,0.026007,0.043319,0.046953,0.049679
0.005118,0.055540,0.008707,0.013952,0.017708,0.022320,0.026609,0.041604,0.044755,0.043435
0.004392,0.052285,0.008924,0.016951,0.017775,0.022173,0.025953,0.041420,0.049850,0.052342
0.004378,0.053618,0.008711,0.013463,0.017874,0.022281,0.025969,0.041379,0.049895,0.050789
0.004696,0.062531,0.008656,0.013456,0.017850,0.022276,0.026434,0.043580,0.043162,0.053193
0.005896,0.062535,0.008700,0.013093,0.018207,0.022182,0.026506,0.038668,0.036494,0.055998
0.004545,0.055539,0.008702,0.013146,0.020839,0.022112,0.026274,0.043140,0.049165,0.048497
0.004563,0.055800,0.009195,0.013411,0.018102,0.022282,0.026226,0.038761,0.048629,0.054398
0.004376,0.055490,0.008799,0.014280,0.018376,0.022010,0.025985,0.042457,0.046888,0.053428
0.004369,0.054235,0.008863,0.013644,0.018035,0.022297,0.036837,0.041266,0.047226,0.052045
0.004393,0.061011,0.009679,0.013473,0.017472,0.022177,0.036924,0.037912,0.041339,0.049501
0.004368,0.053499,0.009126,0.013431,0.017891,0.022013,0.037025,0.039726,0.047036,0.056003

