1x10^5,1x10^6,2x10^5,3x10^5,4x10^5,5x10^5,6x10^5,7x10^5,8x10^5,9x10^5
0.014107,0.142627,0.027954,0.042537,0.055333,0.071454,0.083976,0.099395,0.114550,0.130462
0.014517,0.142916,0.027848,0.041984,0.055299,0.071057,0.083242,0.098387,0.116008,0.129915
0.014120,0.143136,0.027953,0.042107,0.055830,0.070986,0.084460,0.098449,0.114709,0.130362
0.014251,0.141397,0.027719,0.042037,0.055026,0.071404,0.084716,0.099973,0.115491,0.129310
0.014161,0.142678,0.027934,0.042077,0.054415,0.069532,0.084925,0.100832,0.113200,0.129643
0.014126,0.141730,0.028154,0.041902,0.054788,0.069415,0.084247,0.099677,0.115747,0.128808
0.013977,0.141585,0.027977,0.041903,0.055037,0.071016,0.085506,0.099884,0.115442,0.129769
0.014307,0.141206,0.028095,0.041675,0.054055,0.070813,0.083551,0.099833,0.116322,0.129256
0.014009,0.140617,0.028394,0.042038,0.054694,0.071528,0.085675,0.100169,0.115796,0.129817
0.013825,0.140710,0.027883,0.042048,0.054389,0.070578,0.084908,0.100423,0.113550,0.129569
0.014266,0.142731,0.027965,0.041948,0.056100,0.070522,0.084928,0.101339,0.114190,0.129001
0.014019,0.144443,0.027769,0.041456,0.056870,0.071008,0.085533,0.100298,0.114931,0.129261
0.014028,0.144759,0.027769,0.041898,0.056630,0.071797,0.085439,0.097885,0.115126,0.129614
0.013818,0.144631,0.027737,0.041020,0.055054,0.070066,0.086290,0.100465,0.115493,0.130267
0.014188,0.144262,0.027717,0.041567,0.055930,0.070890,0.085424,0.101171,0.114749,0.129853
0.014167,0.143435,0.027687,0.041795,0.057288,0.070820,0.085450,0.101487,0.114865,0.130110
0.014370,0.144283,0.028423,0.041976,0.054970,0.071695,0.085857,0.101159,0.115892,0.131377
0.013992,0.143712,0.028075,0.041675,0.055503,0.071621,0.086257,0.100808,0.115074,0.130093
0.013910,0.144154,0.027739,0.042714,0.056073,0.069792,0.084329,0.099685,0.116604,0.130255
0.013889,0.143583,0.027690,0.041991,0.056552,0.068826,0.084158,0.099502,0.116248,0.128829
0.013927,0.144115,0.027733,0.041849,0.057153,0.069769,0.085316,0.099690,0.115125,0.127891
0.014502,0.143728,0.027762,0.041945,0.057671,0.068734,0.086011,0.101021,0.115378,0.129287
0.014036,0.144294,0.028335,0.041649,0.057648,0.069654,0.084660,0.099660,0.114483,0.128539
0.013965,0.141746,0.027724,0.041362,0.057334,0.070760,0.084101,0.100092,0.114559,0.127618
0.013907,0.143024,0.027777,0.041380,0.056769,0.070801,0.083703,0.100142,0.115496,0.127658
0.013894,0.142834,0.027671,0.041378,0.056697,0.071144,0.083943,0.101070,0.114048,0.128510
0.013908,0.144645,0.027904,0.041326,0.056743,0.070973,0.085335,0.100293,0.115580,0.127806
0.013970,0.144137,0.027994,0.041374,0.056435,0.069825,0.084345,0.100722,0.115431,0.130003
0.014324,0.141460,0.028254,0.041367,0.056383,0.069926,0.086676,0.100796,0.113770,0.129020
0.013965,0.143807,0.028032,0.041758,0.056225,0.069777,0.084478,0.101400,0.114239,0.128212

