1x10^5,1x10^6,2x10^5,3x10^5,4x10^5,5x10^5,6x10^5,7x10^5,8x10^5,9x10^5
0.010066,0.128553,0.022455,0.034883,0.047247,0.065277,0.075513,0.085403,0.107645,0.118866
0.010596,0.132882,0.022504,0.034313,0.047117,0.065133,0.079058,0.093445,0.104229,0.119039
0.009947,0.133249,0.022325,0.034737,0.047038,0.065280,0.078628,0.090523,0.106381,0.118093
0.010681,0.132892,0.022389,0.033972,0.046449,0.065487,0.078767,0.086544,0.107683,0.120262
0.009787,0.130748,0.022260,0.034599,0.046629,0.064642,0.078870,0.091685,0.109210,0.119734
0.009777,0.133252,0.023217,0.034623,0.046642,0.061372,0.077780,0.085999,0.107824,0.120871
0.009781,0.128860,0.022394,0.034995,0.046375,0.063328,0.078929,0.086126,0.105846,0.118618
0.009733,0.132182,0.022010,0.034801,0.046108,0.065451,0.078670,0.089879,0.104343,0.119580
0.009784,0.132799,0.022030,0.035331,0.046290,0.065245,0.077860,0.093642,0.108112,0.120867
0.009780,0.133532,0.022617,0.036256,0.046299,0.065216,0.078094,0.086540,0.103371,0.119865
0.009742,0.132721,0.022109,0.035124,0.046294,0.065414,0.077307,0.092143,0.108307,0.119398
0.009685,0.130553,0.022527,0.034857,0.046181,0.065268,0.078008,0.091189,0.107928,0.116792
0.009723,0.131951,0.022275,0.034572,0.046622,0.065339,0.072178,0.092427,0.106153,0.119936
0.009806,0.132819,0.022663,0.035002,0.046098,0.065072,0.071162,0.094005,0.106079,0.119526
0.009901,0.135177,0.022358,0.034873,0.046019,0.064989,0.074771,0.093109,0.107815,0.119410
0.010327,0.138713,0.022325,0.034449,0.046210,0.065214,0.077052,0.092234,0.103342,0.119120
0.010069,0.134041,0.024221,0.034667,0.046131,0.065334,0.076794,0.085937,0.106692,0.115593
0.009706,0.133978,0.022078,0.034243,0.046245,0.065775,0.079101,0.085618,0.107535,0.117770
0.009773,0.131954,0.022431,0.034607,0.049795,0.065457,0.076742,0.088779,0.105220,0.119853
0.009713,0.130898,0.022699,0.034367,0.050321,0.065218,0.075036,0.093663,0.101276,0.119629
0.009697,0.135808,0.022035,0.034470,0.049827,0.065741,0.074018,0.094146,0.098526,0.120304
0.009715,0.133868,0.022016,0.034067,0.050986,0.065241,0.075316,0.093137,0.097638,0.119161
0.009894,0.131698,0.021955,0.034785,0.050601,0.065179,0.072841,0.092680,0.100092,0.120462
0.010002,0.129191,0.022143,0.034512,0.051560,0.065413,0.072072,0.085747,0.096963,0.118913
0.010013,0.135802,0.023164,0.034790,0.047544,0.065200,0.074250,0.084801,0.098434,0.118474
0.009717,0.135842,0.022209,0.034898,0.050406,0.064741,0.072022,0.087414,0.102114,0.118651
0.009736,0.135647,0.022197,0.034832,0.050847,0.064715,0.072302,0.093469,0.098302,0.117911
0.009716,0.133185,0.022391,0.034938,0.051467,0.066099,0.076850,0.089634,0.104328,0.123156
0.009696,0.132917,0.022515,0.034444,0.051895,0.064900,0.076519,0.092226,0.104145,0.119623
0.009969,0.136067,0.022064,0.035015,0.051748,0.062669,0.073478,0.091173,0.107393,0.119631

