1x10^5,1x10^6,2x10^5,3x10^5,4x10^5,5x10^5,6x10^5,7x10^5,8x10^5,9x10^5
0.009317,0.088675,0.015528,0.022930,0.030685,0.038925,0.047896,0.053630,0.077935,0.083548
0.007658,0.095963,0.015110,0.022969,0.030393,0.037526,0.046415,0.053875,0.078010,0.087781
0.007632,0.092989,0.015222,0.023043,0.030378,0.037509,0.047861,0.054563,0.077760,0.086746
0.007645,0.079497,0.014904,0.022722,0.030324,0.037274,0.047815,0.053991,0.068088,0.087016
0.007616,0.078760,0.015074,0.023794,0.030124,0.038061,0.047062,0.054534,0.072523,0.086552
0.007581,0.095544,0.015092,0.022361,0.029918,0.038488,0.051175,0.064475,0.078069,0.085904
0.007619,0.097885,0.015075,0.022054,0.030055,0.036676,0.045826,0.057589,0.077704,0.085102
0.007621,0.097601,0.015083,0.022093,0.030120,0.037594,0.045708,0.053498,0.077763,0.084025
0.007638,0.093622,0.015081,0.022545,0.029961,0.037794,0.045793,0.053456,0.077757,0.087139
0.007939,0.095516,0.015130,0.021959,0.029514,0.037806,0.045583,0.053350,0.077290,0.068407
0.007835,0.095462,0.015072,0.022393,0.030728,0.038125,0.045727,0.053526,0.077539,0.081152
0.007622,0.096474,0.015128,0.022607,0.030869,0.037700,0.045762,0.054607,0.076857,0.085716
0.007591,0.097855,0.015135,0.022648,0.030405,0.037782,0.045812,0.053895,0.075049,0.083217
0.007613,0.093713,0.015118,0.022639,0.029851,0.038039,0.045644,0.052923,0.078288,0.081619
0.008053,0.097146,0.015114,0.022909,0.030489,0.037824,0.045494,0.053069,0.077702,0.081325
0.007561,0.096107,0.015123,0.022487,0.031336,0.037707,0.045544,0.052822,0.076469,0.085854
0.007680,0.095697,0.015122,0.022700,0.035078,0.036871,0.046070,0.052658,0.076960,0.085334
0.007584,0.095435,0.015125,0.022846,0.031056,0.038820,0.052533,0.052846,0.078475,0.078961
0.007550,0.094253,0.015112,0.022937,0.031287,0.042642,0.048320,0.053084,0.077468,0.085596
0.007426,0.086250,0.015122,0.022871,0.030628,0.038974,0.048689,0.058124,0.077509,0.083736
0.007578,0.090560,0.015144,0.023049,0.030436,0.039539,0.046038,0.066387,0.076822,0.081253
0.007764,0.090404,0.015856,0.023833,0.030564,0.038413,0.046338,0.065640,0.076108,0.086150
0.007512,0.092496,0.015439,0.023915,0.030705,0.038624,0.046012,0.067083,0.077838,0.086122
0.007495,0.095713,0.015183,0.023529,0.030370,0.037972,0.046115,0.067302,0.070626,0.087202
0.007529,0.086944,0.015461,0.023128,0.030215,0.038025,0.045858,0.056737,0.073836,0.085130
0.007430,0.094119,0.016127,0.022960,0.029753,0.038083,0.045726,0.058348,0.075082,0.086307
0.007360,0.096450,0.015498,0.023539,0.029977,0.038098,0.046030,0.068508,0.078274,0.080726
0.007450,0.096079,0.015532,0.022616,0.030175,0.038263,0.045703,0.068042,0.076997,0.076641
0.007581,0.095780,0.015477,0.022807,0.030219,0.038362,0.045558,0.067555,0.077810,0.085799
0.007569,0.091764,0.015807,0.023010,0.030230,0.038186,0.045702,0.068075,0.078716,0.085842

