1x10^5,2x10^5,3x10^5,4x10^5,5x10^5,6x10^5,7x10^5,8x10^5,9x10^5,1x10^6
0.013684,0.029325,0.045265,0.061556,0.076732,0.094678,0.112393,0.1258,0.142523,0.163102
0.013566,0.029321,0.045356,0.061721,0.076772,0.09283,0.111115,0.125515,0.142598,0.1564
0.013964,0.029336,0.045101,0.061256,0.078491,0.092627,0.111506,0.125501,0.143575,0.157036
0.013808,0.029339,0.045375,0.060961,0.076849,0.092712,0.110517,0.125444,0.140974,0.157566
0.013833,0.029333,0.045102,0.061289,0.076823,0.094971,0.10923,0.124896,0.140537,0.159431
0.013613,0.02954,0.045149,0.062669,0.076961,0.093879,0.10985,0.125034,0.141183,0.15738
0.013758,0.029365,0.045137,0.061017,0.076865,0.093049,0.115471,0.127955,0.144942,0.15734
0.013734,0.029339,0.045125,0.061457,0.076941,0.093012,0.111929,0.130531,0.14044,0.157183
0.013698,0.029348,0.045102,0.060974,0.079664,0.097205,0.112044,0.127153,0.141374,0.157288
0.013642,0.029319,0.04534,0.063402,0.077145,0.094135,0.109785,0.128878,0.140924,0.158765
0.013674,0.029319,0.045136,0.063211,0.077098,0.093367,0.110217,0.126903,0.142316,0.158945
0.013622,0.029337,0.045136,0.06184,0.076812,0.095225,0.112269,0.124535,0.141001,0.156273
0.013639,0.029694,0.045167,0.061556,0.076791,0.093344,0.110342,0.126152,0.143235,0.157933
0.013854,0.029566,0.045121,0.061656,0.077063,0.093009,0.110718,0.124805,0.141139,0.156441
0.013795,0.02932,0.04554,0.061354,0.07714,0.093304,0.112339,0.125073,0.140576,0.156674
0.01369,0.029392,0.045509,0.061398,0.077033,0.092733,0.113654,0.124825,0.143982,0.155697
0.013673,0.02955,0.045717,0.06097,0.077331,0.095031,0.110639,0.124684,0.141335,0.15817
0.013633,0.02941,0.045891,0.061076,0.077131,0.093045,0.110268,0.125997,0.14198,0.156934
0.013751,0.029544,0.045236,0.063051,0.076721,0.09319,0.114097,0.125345,0.140854,0.155916
0.013682,0.029697,0.045361,0.061586,0.077068,0.092936,0.112143,0.125298,0.141338,0.15802
0.01378,0.02967,0.045555,0.061929,0.076734,0.093281,0.110067,0.124744,0.14536,0.155986
0.013745,0.029378,0.045192,0.061402,0.076781,0.093087,0.110026,0.127455,0.142813,0.155745
0.013818,0.02971,0.045139,0.062033,0.076839,0.093145,0.109582,0.125883,0.142068,0.156643
0.013729,0.029953,0.045471,0.061849,0.077236,0.095367,0.112776,0.12878,0.140763,0.160307
0.01357,0.029339,0.045084,0.064134,0.07747,0.095629,0.108827,0.124897,0.145572,0.156196
0.013656,0.029316,0.045065,0.061053,0.076831,0.093859,0.108879,0.12687,0.148713,0.155932
0.013802,0.029445,0.045094,0.061638,0.076961,0.09496,0.112913,0.125064,0.141525,0.158458
0.013806,0.029543,0.045076,0.064354,0.07711,0.09895,0.111328,0.124495,0.142848,0.15577
0.013677,0.02956,0.045366,0.061146,0.076977,0.093911,0.112427,0.124726,0.14127,0.155814
0.013573,0.029357,0.045516,0.061107,0.077133,0.096906,0.117128,0.125565,0.140875,0.162199
