1x10^5,2x10^5,3x10^5,4x10^5,5x10^5,6x10^5,7x10^5,8x10^5,9x10^5,1x10^6
0.010464,0.021585,0.033398,0.044818,0.057036,0.068798,0.082884,0.094597,0.104246,0.11602
0.009657,0.022277,0.033362,0.04476,0.057319,0.068699,0.080842,0.095023,0.104784,0.118505
0.009969,0.02135,0.033102,0.044776,0.057305,0.069935,0.083904,0.09322,0.105143,0.115762
0.009636,0.021291,0.033013,0.04517,0.056988,0.068362,0.081667,0.096092,0.10698,0.115998
0.009678,0.021307,0.03325,0.046224,0.057013,0.069663,0.081523,0.093478,0.105062,0.117973
0.00961,0.021283,0.033922,0.045117,0.056649,0.068716,0.080968,0.092201,0.107184,0.115999
0.00985,0.021281,0.034274,0.044785,0.057182,0.068821,0.081112,0.092134,0.10443,0.1156
0.009741,0.021302,0.033451,0.045325,0.05723,0.069424,0.081046,0.094721,0.106117,0.115601
0.009774,0.021263,0.033536,0.044934,0.056883,0.070754,0.081641,0.092407,0.103883,0.115624
0.009564,0.021298,0.033459,0.0449,0.057812,0.068915,0.08274,0.092858,0.103808,0.115901
0.009556,0.021265,0.033051,0.044753,0.056459,0.07041,0.081878,0.092645,0.104264,0.118733
0.009758,0.021278,0.033008,0.044748,0.05645,0.068511,0.080328,0.0934,0.10406,0.119086
0.009632,0.021313,0.035326,0.044727,0.056731,0.068474,0.080249,0.095249,0.104879,0.116031
0.009703,0.021311,0.033403,0.044744,0.05737,0.07005,0.082883,0.094874,0.104981,0.116635
0.009767,0.021861,0.032993,0.044764,0.056957,0.069061,0.081932,0.095986,0.105169,0.11625
0.009556,0.02132,0.033495,0.044896,0.056736,0.069349,0.083653,0.093043,0.104412,0.116763
0.009714,0.021472,0.033365,0.044825,0.058,0.070541,0.081628,0.094293,0.10423,0.117708
0.009765,0.021502,0.033314,0.044956,0.058063,0.069825,0.080441,0.093608,0.104231,0.117762
0.009555,0.021401,0.033492,0.044769,0.057727,0.06892,0.081137,0.092956,0.104329,0.116883
0.009743,0.021472,0.033186,0.044887,0.056754,0.071085,0.083091,0.094751,0.105403,0.115536
0.009542,0.021798,0.033298,0.045333,0.056664,0.068582,0.082161,0.092168,0.105436,0.115935
0.009686,0.021359,0.033543,0.045269,0.056793,0.069693,0.08058,0.094511,0.106844,0.116136
0.009644,0.021438,0.033406,0.045288,0.059009,0.069858,0.080785,0.09263,0.104305,0.118195
0.009643,0.022351,0.033756,0.04524,0.057028,0.069375,0.080634,0.092279,0.103991,0.11679
0.010543,0.021383,0.033169,0.045278,0.057325,0.0689,0.080539,0.093358,0.10407,0.117243
0.009957,0.021567,0.033562,0.045361,0.056755,0.069091,0.083447,0.093423,0.104392,0.11603
0.009587,0.02147,0.033246,0.045317,0.058184,0.07155,0.081354,0.092338,0.105557,0.116399
0.009578,0.02136,0.033426,0.045311,0.057379,0.069269,0.080628,0.0924,0.103911,0.115929
0.009591,0.021293,0.033535,0.04539,0.058807,0.070007,0.081792,0.09287,0.103993,0.115901
0.009553,0.021301,0.033495,0.045231,0.05674,0.06857,0.081534,0.092249,0.105585,0.115818
