1x10^5,2x10^5,3x10^5,4x10^5,5x10^5,6x10^5,7x10^5,8x10^5,9x10^5,1x10^6
0.014132,0.027078,0.039917,0.053765,0.067114,0.080542,0.093635,0.107012,0.120087,0.135558
0.013517,0.026978,0.043399,0.055589,0.068757,0.081689,0.093452,0.110778,0.119621,0.133045
0.013331,0.026777,0.040057,0.053919,0.067637,0.083793,0.094218,0.110316,0.119524,0.133517
0.013742,0.02725,0.040071,0.053728,0.06951,0.080464,0.093604,0.109053,0.123789,0.132905
0.014624,0.026853,0.043187,0.053819,0.070794,0.080631,0.093443,0.106745,0.121662,0.13302
0.013763,0.026804,0.040138,0.053594,0.067819,0.08211,0.09354,0.107245,0.121704,0.132762
0.013359,0.026715,0.040215,0.057957,0.067789,0.081222,0.093629,0.107497,0.119765,0.132727
0.013385,0.027759,0.040269,0.054709,0.067588,0.08279,0.093917,0.107328,0.119483,0.135633
0.013388,0.029131,0.040056,0.054158,0.067351,0.084286,0.093876,0.113378,0.120683,0.133338
0.013402,0.027188,0.040641,0.054272,0.066892,0.082152,0.093619,0.10739,0.119702,0.132723
0.013392,0.027024,0.041807,0.054749,0.067252,0.083222,0.093827,0.107397,0.119908,0.132964
0.013397,0.027151,0.040821,0.054067,0.067758,0.08038,0.098147,0.106926,0.120105,0.133391
0.013364,0.026787,0.041803,0.053874,0.067199,0.080447,0.094074,0.107319,0.12148,0.133197
0.013345,0.026755,0.040591,0.054178,0.066708,0.084421,0.093706,0.110807,0.121422,0.132889
0.013354,0.026719,0.040827,0.057286,0.068649,0.080251,0.093368,0.114376,0.120187,0.133454
0.013411,0.026947,0.042084,0.054113,0.068596,0.080235,0.095367,0.107667,0.119975,0.13276
0.013438,0.026877,0.04182,0.054083,0.067379,0.080714,0.093942,0.109869,0.123668,0.13301
0.013383,0.028655,0.04254,0.054048,0.066868,0.080182,0.096555,0.107149,0.120037,0.133317
0.013473,0.026989,0.04033,0.054218,0.069751,0.080949,0.094679,0.107542,0.119751,0.132881
0.013392,0.02668,0.040283,0.057497,0.067686,0.080161,0.093919,0.107133,0.119593,0.1337
0.013536,0.026628,0.043631,0.055682,0.068903,0.080325,0.094404,0.108469,0.120025,0.132765
0.013541,0.027303,0.040112,0.05723,0.069501,0.080442,0.093467,0.112396,0.122614,0.132855
0.014469,0.026927,0.040115,0.053637,0.066989,0.080791,0.093513,0.111764,0.123078,0.133387
0.013424,0.027,0.041048,0.053274,0.066827,0.080395,0.093515,0.106989,0.119776,0.132723
0.01404,0.02678,0.040355,0.055829,0.066835,0.08026,0.093124,0.109946,0.119755,0.132726
0.013657,0.026721,0.041326,0.053998,0.066727,0.081736,0.093211,0.106932,0.119729,0.132846
0.013329,0.026795,0.041444,0.053538,0.068715,0.080404,0.093923,0.110272,0.12333,0.132807
0.013403,0.026964,0.040657,0.055207,0.068304,0.080592,0.093997,0.107077,0.119707,0.132788
0.013402,0.027567,0.041263,0.060358,0.06664,0.082118,0.095462,0.106788,0.120095,0.132935
0.013528,0.028253,0.040747,0.054115,0.066791,0.080625,0.095499,0.107013,0.123499,0.133734
