1x10^5,2x10^5,3x10^5,4x10^5,5x10^5,6x10^5,7x10^5,8x10^5,9x10^5,1x10^6
0.011045,0.019573,0.029189,0.038772,0.048378,0.059431,0.067461,0.077467,0.086841,0.096744
0.009718,0.019683,0.029027,0.039667,0.048471,0.057849,0.067382,0.077251,0.087733,0.09641
0.00975,0.019468,0.029493,0.038895,0.04912,0.057872,0.067768,0.077294,0.089686,0.096947
0.009819,0.020258,0.029053,0.038609,0.048788,0.060677,0.06761,0.077087,0.089044,0.098009
0.009663,0.019715,0.029274,0.038627,0.048465,0.059995,0.067531,0.077117,0.087395,0.097246
0.009822,0.019314,0.028985,0.03898,0.048213,0.058458,0.067546,0.077637,0.086935,0.097494
0.009666,0.01931,0.030065,0.038796,0.048208,0.059095,0.067698,0.078035,0.086843,0.096691
0.009674,0.019284,0.02931,0.038896,0.048201,0.057996,0.067829,0.079375,0.086969,0.096303
0.009673,0.019301,0.029014,0.039021,0.04885,0.057841,0.06791,0.077283,0.086759,0.096324
0.009651,0.019579,0.028928,0.038898,0.048585,0.057807,0.067726,0.077373,0.087138,0.096341
0.009664,0.020413,0.028945,0.038848,0.048232,0.057989,0.067582,0.0771,0.087533,0.096284
0.009684,0.019741,0.02895,0.038709,0.048313,0.057835,0.06763,0.07731,0.087236,0.096334
0.009652,0.019899,0.029111,0.039042,0.048889,0.057902,0.068168,0.077178,0.08735,0.09646
0.00965,0.019717,0.030385,0.038781,0.049454,0.058198,0.067755,0.077191,0.086912,0.096371
0.009671,0.019371,0.028921,0.038649,0.048258,0.057802,0.067699,0.077249,0.088337,0.096326
0.009635,0.019603,0.028939,0.038577,0.049059,0.05803,0.06762,0.077442,0.087043,0.096342
0.00968,0.019732,0.029,0.038741,0.049631,0.057822,0.067667,0.077368,0.087608,0.096392
0.009661,0.019684,0.029415,0.038607,0.048479,0.059147,0.067812,0.077196,0.086927,0.098456
0.009884,0.019461,0.029009,0.038895,0.048508,0.057912,0.067723,0.077097,0.08671,0.096707
0.009745,0.019422,0.029256,0.039364,0.049573,0.058468,0.067461,0.076992,0.086699,0.096402
0.009671,0.019868,0.029111,0.040148,0.048402,0.058334,0.067569,0.077104,0.086752,0.096462
0.009669,0.019464,0.029054,0.040696,0.048516,0.058216,0.06768,0.077036,0.086745,0.096407
0.009671,0.019305,0.02895,0.03896,0.048595,0.057904,0.067487,0.077524,0.086675,0.096507
0.009656,0.019301,0.029497,0.039753,0.048362,0.058223,0.067456,0.077364,0.086721,0.096347
0.009669,0.019309,0.029262,0.038745,0.048328,0.058048,0.06746,0.077727,0.086733,0.096401
0.009658,0.01931,0.029445,0.038936,0.048856,0.058391,0.067476,0.077561,0.086983,0.09642
0.009729,0.019302,0.028949,0.039664,0.048475,0.057832,0.067565,0.07819,0.08675,0.096598
0.009694,0.0193,0.029056,0.039606,0.050017,0.057853,0.067621,0.077636,0.087429,0.096814
0.009654,0.019298,0.02975,0.039992,0.048803,0.058477,0.067491,0.077774,0.086839,0.096415
0.00966,0.019315,0.029585,0.040449,0.048761,0.058017,0.067524,0.077421,0.086843,0.096336
